time,open,high,low,close,tick_volume,spread,real_volume
2024-01-13,42772.08,43260.46,42404.08,42832.7,145024,1633,0
2024-01-14,42821.26,43076.18,41650.52,41656.99,137341,2769,0
2024-01-15,41655.69,43339.01,41650.66,42482.81,164893,3435,0
2024-01-16,42472.1,43570.17,42024.17,43126.94,163555,3130,0
2024-01-17,43134.68,43206.29,42145.5,42737.53,149997,3298,0
2024-01-18,42732.23,42903.51,40581.81,41290.35,163564,3177,0
2024-01-19,41290.35,42181.97,40253.78,41617.43,168618,3395,0
2024-01-20,41621.2,41860.25,41404.88,41665.53,111333,2716,0
2024-01-21,41672.42,41881.09,41475.16,41568.29,97513,2649,0
2024-01-22,41571.93,41670.96,39366.39,39496.76,188748,3001,0
2024-01-23,39498.55,40162.63,38489.64,39841.01,181765,3057,0
2024-01-24,39858.44,40535.18,39384.8,40091.35,157385,2931,0
2024-01-25,40079.78,40294.65,39484.68,39913.12,204716,2942,0
2024-01-26,39959.94,42230.28,39800.85,41788.61,157083,2601,0
2024-01-27,41814.31,42202.34,41368.68,42122.77,106193,2600,0
2024-01-28,42114.99,42836.91,41585.65,42030.33,120804,2600,0
2024-01-29,42030.61,43313.47,41774.31,43295.77,132609,2602,0
2024-01-30,43297.48,43847.49,42653.86,42949.17,134132,2600,0
2024-01-31,42946.94,43735.71,42260.73,42560.23,152174,2868,0
2024-02-01,42552.06,43283.97,41830.32,43091.6,151117,2986,0
2024-02-02,43095.35,43438.4,42537.25,43168.51,127147,3003,0
2024-02-03,43170.39,43330.33,42834.27,42977.34,97219,2842,0
2024-02-04,42976.47,43088.78,42245.67,42595.5,102914,2798,0
2024-02-05,42559.89,43529.26,42212.73,42678.9,134498,2710,0
2024-02-06,42668.84,43355.42,42522.72,43058.32,123725,2600,0
2024-02-07,43068.62,44374.38,42717.11,44297.09,125964,2602,0
2024-02-08,44317.23,45595.05,44301.93,45278.89,140761,2601,0
2024-02-09,45272.51,48206.76,45207.65,47094.26,170222,2600,0
2024-02-10,47101.84,48160.45,46830.65,47733.57,116614,2600,0
