time,open,high,low,close,tick_volume,spread,real_volume
2024-01-12 16:00:00,44339.24,44561.2,43118.8,43416.78,48836,2266,0
2024-01-12 20:00:00,43416.51,43981.65,41447.59,42763.83,57131,1804,0
2024-01-13 00:00:00,42772.08,42970.03,42404.08,42595.33,25476,3440,0
2024-01-13 04:00:00,42594.36,43260.46,42530.93,43086.47,22529,1633,0
2024-01-13 08:00:00,43089.64,43251.37,42476.23,42589.58,25987,2268,0
2024-01-13 12:00:00,42587.96,43247.69,42455.0,43147.08,26301,2359,0
2024-01-13 16:00:00,43149.54,43185.34,42702.45,42757.83,25176,2355,0
2024-01-13 20:00:00,42757.43,43039.75,42665.2,42832.7,19555,2782,0
2024-01-14 00:00:00,42821.26,42893.09,42610.14,42655.29,20086,3126,0
2024-01-14 04:00:00,42656.61,43055.39,42525.52,43008.55,17617,2776,0
2024-01-14 08:00:00,43008.96,43076.18,42744.98,42809.48,18481,2769,0
2024-01-14 12:00:00,42806.64,43002.47,42688.24,42885.47,20157,3011,0
2024-01-14 16:00:00,42888.9,43018.75,42588.67,42626.8,21024,4081,0
2024-01-14 20:00:00,42625.64,42727.77,41650.52,41656.99,39976,3850,0
2024-01-15 00:00:00,41655.69,42619.06,41650.66,42530.87,28929,3839,0
2024-01-15 04:00:00,42530.84,42817.13,42473.8,42692.87,22504,3724,0
2024-01-15 08:00:00,42689.73,42770.17,42488.45,42686.79,23619,3544,0
2024-01-15 12:00:00,42689.38,42958.55,42097.03,42239.25,31492,3543,0
2024-01-15 16:00:00,42236.21,43339.01,42201.61,42971.45,31895,3511,0
2024-01-15 20:00:00,42966.09,43097.63,42285.69,42482.81,26454,3435,0
2024-01-16 00:00:00,42472.1,42911.42,42425.65,42887.19,22302,3763,0
2024-01-16 04:00:00,42886.51,42919.34,42573.85,42750.54,21016,3635,0
2024-01-16 08:00:00,42747.65,43132.01,42672.59,42873.71,24551,3619,0
2024-01-16 12:00:00,42870.86,43310.4,42024.17,43238.62,36513,3299,0
2024-01-16 16:00:00,43235.84,43406.85,42789.66,43138.46,31704,3146,0
2024-01-16 20:00:00,43142.46,43570.17,43018.46,43126.94,27469,3130,0
2024-01-17 00:00:00,43134.68,43206.29,42826.27,42847.31,21719,3298,0
2024-01-17 04:00:00,42849.65,42915.91,42566.02,42627.41,21173,3356,0
2024-01-17 08:00:00,42625.35,42832.64,42516.9,42658.2,21437,3383,0
2024-01-17 12:00:00,42655.62,42906.61,42332.17,42458.99,33083,3413,0
