time,open,high,low,close,tick_volume,spread,real_volume
2024-01-14,1.27328,1.2748599999999999,1.27313,1.27337,1364,40,0
2024-01-15,1.27352,1.2765,1.27124,1.27145,42835,12,0
2024-01-16,1.27149,1.27163,1.26189,1.26369,79125,12,0
2024-01-17,1.26373,1.26959,1.25959,1.26758,71788,12,0
2024-01-18,1.26766,1.27112,1.2647599999999999,1.27102,72076,12,0
2024-01-19,1.27105,1.2713999999999999,1.26608,1.27037,59090,12,0
2024-01-21,1.26765,1.27065,1.26765,1.26976,1823,40,0
2024-01-22,1.26986,1.27325,1.26862,1.27053,53798,12,0
2024-01-23,1.27058,1.27468,1.26485,1.26902,55232,12,0
2024-01-24,1.26906,1.27741,1.26852,1.27185,62648,12,0
2024-01-25,1.27179,1.2742200000000001,1.2681,1.27058,68339,12,0
2024-01-26,1.27054,1.2758,1.2675100000000001,1.2701799999999999,55077,12,0
2024-01-28,1.26851,1.27006,1.26819,1.2695400000000001,1982,40,0
2024-01-29,1.2696399999999999,1.27182,1.26616,1.27109,51819,12,0
2024-01-30,1.27114,1.27206,1.26395,1.26935,55543,12,0
2024-01-31,1.26936,1.27502,1.26577,1.26789,86950,12,0
2024-02-01,1.26792,1.27552,1.26247,1.27451,71838,12,0
2024-02-02,1.2745600000000001,1.27717,1.26133,1.26327,63303,12,0
2024-02-04,1.26231,1.26318,1.26052,1.26204,1856,40,0
2024-02-05,1.26213,1.26289,1.25174,1.25326,54991,12,0
2024-02-06,1.25333,1.26047,1.2533,1.26023,59137,12,0
2024-02-07,1.2603,1.26413,1.25966,1.26261,53564,12,0
2024-02-08,1.26263,1.2638099999999999,1.25714,1.2619,52064,12,0
2024-02-09,1.262,1.26426,1.25986,1.26298,49229,12,0
2024-02-11,1.2616399999999999,1.2635100000000001,1.26075,1.26341,1854,40,0
2024-02-12,1.26358,1.26542,1.26057,1.2625600000000001,45133,12,0
2024-02-13,1.26263,1.26936,1.25727,1.25896,60172,12,0
2024-02-14,1.25897,1.26105,1.25346,1.25661,58369,12,0
2024-02-15,1.25667,1.26041,1.2540499999999999,1.2598,52919,12,0
2024-02-16,1.2597800000000001,1.2624,1.25503,1.25999,54282,12,0
2024-02-18,1.25915,1.26085,1.2586300000000001,1.2607599999999999,1999,40,0
2024-02-19,1.26097,1.26292,1.2583,1.25871,36843,12,0
2024-02-20,1.25873,1.2668300000000001,1.25785,1.2625600000000001,51522,12,0
2024-02-21,1.26242,1.26411,1.2602,1.26371,52184,12,0
2024-02-22,1.26377,1.27091,1.26108,1.26606,54923,12,0
2024-02-23,1.2661,1.27011,1.26479,1.26705,46314,12,0
2024-02-25,1.2656100000000001,1.26735,1.26556,1.267,1859,40,0
2024-02-26,1.26695,1.2699,1.26563,1.26833,42714,12,0
2024-02-27,1.26833,1.26962,1.2659799999999999,1.26798,47526,12,0
2024-02-28,1.268,1.2683499999999999,1.26212,1.26594,47660,12,0
2024-02-29,1.26607,1.26813,1.26122,1.26248,55114,12,0
2024-03-01,1.26262,1.26635,1.25993,1.26525,50292,12,0
2024-03-03,1.26414,1.266,1.26336,1.26585,1696,40,0
2024-03-04,1.26601,1.2705899999999999,1.26556,1.26887,39244,12,0
