time,open,high,low,close,tick_volume,spread,real_volume
2024-01-12 16:00:00,37499.4,37633.8,37476.6,37551.5,14066,73,0
2024-01-12 20:00:00,37551.5,37607.8,37532.6,37592.9,2966,75,0
2024-01-14 20:00:00,37561.8,37582.6,37532.7,37577.2,718,80,0
2024-01-15 00:00:00,37577.2,37632.8,37560.5,37625.0,2134,74,0
2024-01-15 04:00:00,37623.5,37641.0,37582.6,37584.9,1756,74,0
2024-01-15 08:00:00,37585.0,37613.7,37522.1,37543.9,8116,71,0
2024-01-15 12:00:00,37543.8,37604.0,37506.9,37584.5,7263,73,0
2024-01-15 16:00:00,37582.6,37599.4,37562.5,37583.8,1328,73,0
2024-01-15 20:00:00,37572.1,37584.5,37548.3,37551.7,434,79,0
2024-01-16 00:00:00,37552.7,37552.7,37478.5,37498.5,3302,73,0
2024-01-16 04:00:00,37499.9,37500.1,37440.6,37462.0,2636,73,0
2024-01-16 08:00:00,37460.5,37495.1,37396.1,37481.3,9074,70,0
2024-01-16 12:00:00,37480.7,37562.6,37324.6,37473.5,15646,70,0
2024-01-16 16:00:00,37474.0,37483.2,37203.5,37277.6,16542,74,0
2024-01-16 20:00:00,37276.5,37376.7,37268.5,37368.7,4052,74,0
2024-01-17 00:00:00,37368.2,37370.6,37285.5,37288.6,2716,72,0
2024-01-17 04:00:00,37289.1,37317.0,37210.5,37243.9,4125,73,0
2024-01-17 08:00:00,37242.4,37274.5,37184.6,37221.8,8568,70,0
2024-01-17 12:00:00,37221.2,37345.7,37156.6,37328.5,15094,70,0
2024-01-17 16:00:00,37329.1,37379.0,37136.1,37223.5,11775,73,0
2024-01-17 20:00:00,37224.0,37306.1,37165.6,37280.3,4434,73,0
2024-01-18 00:00:00,37280.9,37291.0,37246.6,37249.5,2774,72,0
2024-01-18 04:00:00,37248.6,37277.0,37226.6,37264.7,2722,73,0
2024-01-18 08:00:00,37263.4,37338.5,37238.5,37243.6,7394,69,0
2024-01-18 12:00:00,37244.9,37289.8,37127.0,37218.4,14160,70,0
2024-01-18 16:00:00,37218.0,37440.7,37155.4,37415.0,13803,73,0
2024-01-18 20:00:00,37415.9,37529.1,37410.5,37482.7,5090,74,0
2024-01-19 00:00:00,37481.4,37484.9,37417.6,37456.1,2793,72,0
2024-01-19 04:00:00,37455.6,37511.0,37427.6,37493.9,2421,72,0
2024-01-19 08:00:00,37493.4,37617.1,37472.3,37609.9,7243,69,0
2024-01-19 12:00:00,37608.4,37715.5,37454.7,37599.6,14768,71,0
2024-01-19 16:00:00,37600.9,37950.7,37575.4,37894.5,12602,75,0
2024-01-19 20:00:00,37894.4,37911.5,37839.5,37853.5,3383,75,0
2024-01-21 20:00:00,37910.6,37948.0,37904.8,37918.8,781,79,0
2024-01-22 00:00:00,37917.3,37990.7,37907.2,37939.4,3120,73,0
2024-01-22 04:00:00,37940.8,37949.9,37897.0,37923.4,2536,74,0
2024-01-22 08:00:00,37922.4,37958.2,37900.7,37929.3,6271,70,0
2024-01-22 12:00:00,37928.7,38136.8,37928.7,38063.7,12065,70,0
2024-01-22 16:00:00,38065.7,38067.7,37932.5,37999.5,11104,73,0
2024-01-22 20:00:00,38000.9,38044.9,37982.7,38018.4,3921,73,0
2024-01-23 00:00:00,38018.8,38044.9,38001.5,38016.9,2873,73,0
2024-01-23 04:00:00,38017.1,38045.0,38015.7,38037.9,2287,72,0
2024-01-23 08:00:00,38036.5,38049.8,37949.6,37976.6,6512,69,0
2024-01-23 12:00:00,37976.0,38022.0,37867.7,37872.9,10638,71,0
2024-01-23 16:00:00,37873.9,37933.9,37817.6,37925.0,8454,72,0
2024-01-23 20:00:00,37925.9,37963.8,37899.4,37960.3,3928,73,0
2024-01-24 00:00:00,37958.3,37959.0,37932.5,37947.5,1772,72,0
2024-01-24 04:00:00,37948.1,37999.0,37946.6,37981.7,1950,72,0
2024-01-24 08:00:00,37982.0,38026.3,37958.7,38013.2,5836,69,0
2024-01-24 12:00:00,38013.7,38100.1,37946.6,38013.9,11983,70,0
2024-01-24 16:00:00,38014.9,38084.8,37874.5,37925.9,13084,74,0
2024-01-24 20:00:00,37924.6,37942.6,37800.3,37873.0,5538,73,0
2024-01-25 00:00:00,37873.9,37910.9,37861.8,37888.4,2425,74,0
2024-01-25 04:00:00,37888.4,37942.7,37887.6,37918.9,2146,74,0
2024-01-25 08:00:00,37919.0,37942.6,37783.4,37834.9,6789,70,0
2024-01-25 12:00:00,37835.2,38050.8,37766.1,37865.4,14935,73,0
2024-01-25 16:00:00,37864.6,37942.8,37805.6,37925.0,14847,72,0
2024-01-25 20:00:00,37925.0,38070.7,37897.4,37991.2,5297,74,0
2024-01-26 00:00:00,37988.8,38003.1,37970.6,37982.2,2026,71,0
2024-01-26 04:00:00,37982.2,37982.2,37910.4,37921.9,2906,71,0
2024-01-26 08:00:00,37921.9,38024.6,37919.3,38000.6,6158,69,0
2024-01-26 12:00:00,38001.9,38232.9,37962.6,38214.0,14281,71,0
2024-01-26 16:00:00,38213.6,38219.9,38034.5,38134.5,11276,74,0
2024-01-26 20:00:00,38135.9,38142.0,38081.5,38111.9,2635,75,0
2024-01-28 20:00:00,38081.2,38081.2,38032.1,38047.7,803,82,0
