time,open,high,low,close,tick_volume,spread,real_volume
2024-01-14,144.86,145.141,144.806,145.111,1718,43,0
2024-01-15,145.146,145.938,144.929,145.762,49757,11,0
2024-01-16,145.791,147.309,145.58,147.209,88987,11,0
2024-01-17,147.243,148.525,147.094,148.104,84268,11,0
2024-01-18,148.133,148.298,147.651,148.089,77040,11,0
2024-01-19,148.121,148.801,147.834,148.118,75921,11,0
2024-01-21,148.112,148.218,148.03,148.09,2441,43,0
2024-01-22,148.121,148.3,147.612,148.11,69235,11,0
2024-01-23,148.142,148.691,146.977,148.2,99306,11,0
2024-01-24,148.243,148.259,146.643,147.55,83629,11,0
2024-01-25,147.585,147.946,147.078,147.693,77527,11,0
2024-01-26,147.657,148.204,147.411,148.08,65533,11,0
2024-01-28,148.068,148.153,147.96,148.152,2231,43,0
2024-01-29,148.18,148.331,147.249,147.451,57989,11,0
2024-01-30,147.484,147.924,147.093,147.259,62325,11,0
2024-01-31,147.332,147.896,146.011,146.971,126502,11,0
2024-02-01,147.004,147.11,145.89,146.423,102963,11,0
2024-02-02,146.457,148.582,146.239,148.335,79028,11,0
2024-02-04,148.365,148.626,148.246,148.439,2813,43,0
2024-02-05,148.509,148.889,148.264,148.618,66710,11,0
2024-02-06,148.66,148.785,147.688,147.792,62812,11,0
2024-02-07,147.817,148.255,147.614,148.055,64907,11,0
2024-02-08,148.084,149.474,147.928,149.243,65664,11,0
2024-02-09,149.26,149.571,149.006,149.24,57761,11,0
2024-02-11,149.246,149.261,149.032,149.149,2119,43,0
2024-02-12,149.177,149.474,148.923,149.365,47313,11,0
2024-02-13,149.401,150.882,149.201,150.697,63974,11,0
2024-02-14,150.721,150.774,150.261,150.515,58677,11,0
2024-02-15,150.554,150.554,149.53,149.915,63795,11,0
2024-02-16,149.957,150.642,149.923,150.175,54853,11,0
2024-02-18,150.158,150.179,149.967,150.102,2213,43,0
2024-02-19,150.15,150.258,149.871,150.21,32152,11,0
2024-02-20,150.267,150.435,149.678,149.925,50876,11,0
2024-02-21,149.962,150.39,149.849,150.303,48911,11,0
2024-02-22,150.337,150.684,150.012,150.445,56082,11,0
2024-02-23,150.472,150.766,150.289,150.517,41629,11,0
2024-02-25,150.319,150.524,150.208,150.461,2166,43,0
2024-02-26,150.496,150.835,150.289,150.534,44662,11,0
2024-02-27,150.571,150.606,150.071,150.465,43384,11,0
2024-02-28,150.51,150.84,150.368,150.629,45783,11,0
2024-02-29,150.656,150.656,149.204,150.053,69225,11,0
2024-03-01,150.062,150.717,150.029,150.081,55827,11,0
2024-03-03,149.987,150.127,149.899,150.112,1930,43,0
2024-03-04,150.126,150.565,149.836,150.424,41085,11,0
2024-03-05,150.451,150.541,149.698,149.997,49037,11,0
2024-03-06,150.049,150.08,149.089,149.235,61661,11,0
2024-03-07,149.261,149.261,147.578,147.832,79442,11,0
2024-03-08,147.861,148.114,146.476,147.053,86011,11,0
2024-03-10,146.956,147.099,146.704,146.799,4854,11,0
2024-03-11,146.793,147.145,146.482,146.729,58443,11,0
