time,open,high,low,close,tick_volume,spread,real_volume
2024-01-12 16:00:00,144.706,145.014,144.561,144.868,12539,11,0
2024-01-12 20:00:00,144.868,144.94,144.785,144.895,2828,11,0
2024-01-14 20:00:00,144.86,145.141,144.806,145.111,1718,43,0
2024-01-15 00:00:00,145.146,145.23,144.929,145.13,12068,11,0
2024-01-15 04:00:00,145.131,145.551,145.096,145.447,8131,11,0
2024-01-15 08:00:00,145.444,145.821,145.311,145.666,11801,11,0
2024-01-15 12:00:00,145.669,145.938,145.661,145.785,11803,11,0
2024-01-15 16:00:00,145.788,145.853,145.674,145.778,3968,11,0
2024-01-15 20:00:00,145.778,145.832,145.643,145.762,1986,11,0
2024-01-16 00:00:00,145.791,146.193,145.58,146.095,15916,11,0
2024-01-16 04:00:00,146.092,146.268,145.991,146.155,11014,11,0
2024-01-16 08:00:00,146.156,146.747,145.998,146.6,17285,11,0
2024-01-16 12:00:00,146.601,146.793,146.28,146.703,22432,11,0
2024-01-16 16:00:00,146.699,147.309,146.692,147.245,18170,11,0
2024-01-16 20:00:00,147.246,147.27,147.009,147.209,4170,11,0
2024-01-17 00:00:00,147.243,147.484,147.094,147.329,13704,11,0
2024-01-17 04:00:00,147.328,147.965,147.281,147.865,15595,11,0
2024-01-17 08:00:00,147.867,147.923,147.562,147.659,15698,11,0
2024-01-17 12:00:00,147.661,148.525,147.582,148.443,20505,11,0
2024-01-17 16:00:00,148.445,148.515,148.163,148.266,13888,11,0
2024-01-17 20:00:00,148.266,148.288,147.837,148.104,4878,11,0
2024-01-18 00:00:00,148.133,148.249,147.867,148.018,13259,11,0
2024-01-18 04:00:00,148.018,148.061,147.685,147.784,12549,11,0
2024-01-18 08:00:00,147.781,147.959,147.651,147.818,13586,11,0
2024-01-18 12:00:00,147.815,148.298,147.749,148.172,21621,11,0
2024-01-18 16:00:00,148.174,148.258,147.997,148.224,11358,11,0
2024-01-18 20:00:00,148.221,148.274,147.975,148.089,4667,11,0
2024-01-19 00:00:00,148.121,148.474,147.936,148.218,13421,11,0
2024-01-19 04:00:00,148.221,148.801,148.19,148.265,13118,11,0
2024-01-19 08:00:00,148.263,148.351,147.834,147.975,14943,11,0
2024-01-19 12:00:00,147.975,148.529,147.955,148.098,20106,11,0
2024-01-19 16:00:00,148.1,148.306,148.02,148.187,11513,11,0
2024-01-19 20:00:00,148.187,148.197,148.038,148.118,2820,11,0
2024-01-21 20:00:00,148.112,148.218,148.03,148.09,2441,43,0
2024-01-22 00:00:00,148.121,148.228,147.729,147.915,14981,11,0
2024-01-22 04:00:00,147.914,148.13,147.827,148.032,11659,11,0
2024-01-22 08:00:00,148.035,148.3,147.853,147.882,13005,11,0
2024-01-22 12:00:00,147.882,147.951,147.612,147.841,17190,11,0
2024-01-22 16:00:00,147.844,148.139,147.842,148.029,8127,11,0
2024-01-22 20:00:00,148.028,148.123,147.738,148.11,4273,11,0
2024-01-23 00:00:00,148.142,148.547,147.849,147.893,18925,11,0
2024-01-23 04:00:00,147.895,148.204,146.977,147.581,30453,11,0
2024-01-23 08:00:00,147.578,148.154,147.251,148.02,17042,11,0
2024-01-23 12:00:00,148.018,148.539,147.87,148.477,18362,11,0
2024-01-23 16:00:00,148.477,148.691,148.294,148.376,10492,11,0
2024-01-23 20:00:00,148.375,148.408,148.159,148.2,4032,11,0
2024-01-24 00:00:00,148.243,148.259,147.748,147.801,14022,11,0
2024-01-24 04:00:00,147.798,148.01,147.696,147.79,11679,11,0
2024-01-24 08:00:00,147.787,147.787,147.374,147.513,13291,11,0
2024-01-24 12:00:00,147.51,147.518,146.643,146.938,25570,11,0
2024-01-24 16:00:00,146.936,147.589,146.882,147.56,14118,11,0
2024-01-24 20:00:00,147.56,147.62,147.22,147.55,4949,11,0
2024-01-25 00:00:00,147.585,147.851,147.54,147.651,12119,11,0
2024-01-25 04:00:00,147.648,147.876,147.529,147.666,9625,11,0
2024-01-25 08:00:00,147.669,147.839,147.471,147.511,11456,11,0
2024-01-25 12:00:00,147.513,147.946,147.078,147.573,28308,11,0
2024-01-25 16:00:00,147.574,147.896,147.503,147.836,11606,11,0
2024-01-25 20:00:00,147.833,147.846,147.454,147.693,4413,11,0
2024-01-26 00:00:00,147.657,147.846,147.476,147.663,11296,11,0
2024-01-26 04:00:00,147.663,147.879,147.644,147.768,9195,11,0
2024-01-26 08:00:00,147.77,148.087,147.591,147.711,12900,11,0
2024-01-26 12:00:00,147.711,148.163,147.411,148.069,21331,11,0
2024-01-26 16:00:00,148.072,148.204,147.879,148.094,8594,11,0
2024-01-26 20:00:00,148.093,148.125,148.012,148.08,2217,11,0
2024-01-28 20:00:00,148.068,148.153,147.96,148.152,2231,43,0
2024-01-29 00:00:00,148.18,148.331,148.023,148.135,9125,11,0
2024-01-29 04:00:00,148.132,148.132,147.747,147.802,8971,11,0
2024-01-29 08:00:00,147.799,147.921,147.705,147.873,11197,11,0
2024-01-29 12:00:00,147.872,148.088,147.619,147.662,13038,11,0
2024-01-29 16:00:00,147.662,147.733,147.58,147.647,8554,11,0
2024-01-29 20:00:00,147.644,147.644,147.249,147.451,7104,11,0
2024-01-30 00:00:00,147.484,147.484,147.189,147.392,9646,11,0
2024-01-30 04:00:00,147.392,147.403,147.154,147.22,8537,11,0
2024-01-30 08:00:00,147.223,147.548,147.202,147.375,12222,11,0
2024-01-30 12:00:00,147.376,147.889,147.093,147.843,17964,11,0
2024-01-30 16:00:00,147.842,147.924,147.577,147.599,9737,11,0
2024-01-30 20:00:00,147.599,147.664,147.259,147.259,4219,11,0
2024-01-31 00:00:00,147.332,147.745,147.186,147.728,11754,11,0
2024-01-31 04:00:00,147.729,147.896,147.574,147.652,8649,11,0
2024-01-31 08:00:00,147.653,147.878,147.398,147.841,13631,11,0
2024-01-31 12:00:00,147.838,147.879,146.135,146.178,32477,11,0
2024-01-31 16:00:00,146.18,146.864,146.011,146.375,36951,11,0
2024-01-31 20:00:00,146.376,147.444,146.299,146.971,23040,11,0
2024-02-01 00:00:00,147.004,147.079,146.47,146.702,15121,11,0
2024-02-01 04:00:00,146.702,147.045,146.616,146.8,12363,11,0
2024-02-01 08:00:00,146.803,146.908,146.586,146.836,17043,11,0
2024-02-01 12:00:00,146.838,147.11,146.242,146.306,30111,11,0
2024-02-01 16:00:00,146.309,146.476,145.89,146.265,22742,11,0
2024-02-01 20:00:00,146.268,146.476,146.163,146.423,5583,11,0
2024-02-02 00:00:00,146.457,146.49,146.239,146.377,10238,11,0
2024-02-02 04:00:00,146.378,146.633,146.314,146.618,9704,11,0
2024-02-02 08:00:00,146.621,146.796,146.458,146.533,10979,11,0
2024-02-02 12:00:00,146.53,148.341,146.506,148.273,31998,11,0
2024-02-02 16:00:00,148.273,148.582,148.192,148.324,12818,11,0
2024-02-02 20:00:00,148.325,148.378,148.231,148.335,3291,11,0
2024-02-04 20:00:00,148.365,148.626,148.246,148.439,2813,43,0
2024-02-05 00:00:00,148.509,148.818,148.349,148.397,14485,11,0
2024-02-05 04:00:00,148.4,148.499,148.264,148.473,10250,11,0
2024-02-05 08:00:00,148.473,148.601,148.303,148.431,11614,11,0
2024-02-05 12:00:00,148.428,148.871,148.39,148.87,17720,11,0
2024-02-05 16:00:00,148.867,148.889,148.501,148.694,8750,11,0
2024-02-05 20:00:00,148.696,148.761,148.531,148.618,3891,11,0
2024-02-06 00:00:00,148.66,148.668,148.461,148.626,8166,11,0
2024-02-06 04:00:00,148.626,148.626,148.357,148.509,9618,11,0
2024-02-06 08:00:00,148.509,148.785,148.488,148.678,9782,11,0
2024-02-06 12:00:00,148.681,148.78,147.995,148.087,17283,11,0
2024-02-06 16:00:00,148.09,148.186,147.818,147.96,13318,11,0
2024-02-06 20:00:00,147.957,147.961,147.688,147.792,4645,11,0
2024-02-07 00:00:00,147.817,147.988,147.706,147.896,9342,11,0
2024-02-07 04:00:00,147.899,148.061,147.744,147.819,8769,11,0
2024-02-07 08:00:00,147.816,148.152,147.808,148.08,10758,11,0
2024-02-07 12:00:00,148.079,148.255,147.614,147.942,20365,11,0
2024-02-07 16:00:00,147.944,148.186,147.873,148.129,11129,11,0
