time,open,high,low,close,tick_volume,spread,real_volume
2024-01-14,16828.72,16832.02,16808.32,16814.75,1515,489,0
2024-01-15,16814.72,16890.96,16804.97,16807.37,32018,469,0
2024-01-16,16807.96,16903.53,16685.01,16852.06,69611,475,0
2024-01-17,16852.09,16854.13,16564.29,16729.19,65753,467,0
2024-01-18,16728.86,17028.87,16714.72,17026.15,66811,464,0
2024-01-19,17025.23,17320.9,17009.6,17307.18,59083,481,0
2024-01-21,17353.51,17380.56,17353.51,17365.53,2139,510,0
2024-01-22,17365.65,17465.98,17318.04,17351.6,61411,487,0
2024-01-23,17351.33,17465.56,17296.15,17465.56,56593,484,0
2024-01-24,17463.8,17678.84,17457.22,17507.21,59238,483,0
2024-01-25,17508.29,17642.13,17424.93,17438.38,64540,495,0
2024-01-26,17437.3,17524.89,17362.07,17424.34,57181,493,0
2024-01-28,17382.2,17396.03,17358.73,17383.54,2125,522,0
2024-01-29,17383.57,17634.13,17382.01,17624.86,50708,490,0
2024-01-30,17624.86,17638.64,17315.62,17354.88,56286,492,0
2024-01-31,17354.96,17390.35,17128.56,17191.65,67179,485,0
2024-02-01,17191.74,17553.78,17172.01,17504.01,65224,485,0
2024-02-02,17502.99,17684.01,17377.28,17651.32,60933,490,0
2024-02-04,17612.67,17641.0,17611.51,17625.6,1917,532,0
2024-02-05,17626.66,17663.82,17475.43,17614.84,58359,498,0
2024-02-06,17616.5,17688.93,17483.83,17573.72,58811,494,0
2024-02-07,17575.68,17796.32,17553.79,17767.27,54560,498,0
2024-02-08,17766.1,17821.57,17718.1,17794.58,47140,491,0
2024-02-09,17793.16,17994.79,17778.6,17965.35,44447,497,0
2024-02-11,17973.41,17974.47,17936.11,17970.24,1425,539,0
2024-02-12,17970.24,18053.19,17845.7,17875.56,43033,504,0
2024-02-13,17876.7,17899.94,17482.73,17623.83,60732,500,0
2024-02-14,17623.87,17817.09,17604.13,17815.18,58029,500,0
2024-02-15,17814.47,17903.81,17717.1,17889.53,54626,498,0
2024-02-16,17890.36,17963.47,17657.17,17681.52,54585,500,0
2024-02-18,17676.44,17739.05,17676.44,17721.92,1896,524,0
2024-02-19,17724.09,17753.37,17685.35,17697.68,30642,502,0
2024-02-20,17697.42,17702.05,17402.03,17523.32,67960,504,0
2024-02-21,17519.41,17659.31,17325.43,17654.49,67599,497,0
2024-02-22,17656.12,18036.71,17654.61,17995.27,63010,504,0
2024-02-23,17995.03,18096.83,17901.93,17955.65,54052,509,0
2024-02-25,17928.35,17951.7,17905.63,17946.43,1562,528,0
2024-02-26,17944.49,18019.84,17884.9,17928.84,53554,512,0
2024-02-27,17928.3,18005.14,17875.02,17970.33,52434,505,0
2024-02-28,17970.75,17982.3,17812.75,17836.11,52544,507,0
2024-02-29,17834.57,18074.72,17792.05,18027.03,55994,509,0
2024-03-01,18028.34,18338.02,17998.75,18308.51,48801,510,0
2024-03-03,18313.27,18339.45,18305.06,18321.23,1870,542,0
2024-03-04,18321.16,18351.76,18194.23,18204.22,50299,517,0
2024-03-05,18200.67,18215.29,17812.6,17945.68,59804,513,0
2024-03-06,17946.48,18156.21,17926.96,18006.33,64103,508,0
2024-03-07,18002.13,18342.12,17899.93,18249.62,66088,514,0
2024-03-08,18252.8,18424.24,18004.87,18047.29,72204,519,0
2024-03-10,18048.68,18050.52,17972.67,18035.19,4352,548,0
2024-03-11,18041.62,18054.53,17889.54,18048.75,70050,521,0
2024-03-12,18047.81,18245.66,17928.09,18237.57,60847,509,0
2024-03-13,18235.79,18263.92,18041.53,18132.88,58072,512,0
2024-03-14,18133.28,18186.31,17923.45,17998.7,62423,511,0
2024-03-15,18002.37,18085.52,17771.69,17815.42,57479,507,0
2024-03-17,17849.37,17875.39,17834.85,17852.39,3228,535,0
2024-03-18,17851.86,18151.52,17836.93,17967.28,58499,513,0
2024-03-19,17968.21,18065.33,17831.7,18045.81,62717,510,0
2024-03-20,18043.91,18367.75,18003.22,18355.59,54624,510,0
2024-03-21,18354.9,18484.98,18330.27,18371.51,54961,520,0
2024-03-22,18369.91,18402.47,18273.31,18370.19,50475,519,0
2024-03-24,18351.33,18375.85,18340.97,18373.65,2767,535,0
2024-03-25,18373.83,18388.63,18206.18,18332.29,50085,514,0
2024-03-26,18332.45,18409.77,18231.14,18283.19,50315,516,0
2024-03-27,18281.68,18362.99,18171.54,18275.46,51844,516,0
2024-03-28,18275.74,18333.25,18243.88,18258.07,47889,515,0
2024-03-31,18311.77,18416.19,18307.62,18413.89,3591,542,0
2024-04-01,18413.76,18415.34,18222.36,18277.38,48391,520,0
2024-04-02,18277.34,18317.02,18010.25,18137.61,55317,516,0
2024-04-03,18137.3,18295.71,18042.8,18253.28,56168,518,0
2024-04-04,18257.92,18377.73,17869.92,17909.28,60552,518,0
2024-04-05,17908.23,18220.61,17865.98,18119.04,63581,521,0
2024-04-07,18177.83,18191.94,18129.43,18141.86,2924,543,0
2024-04-08,18143.46,18197.61,18064.06,18127.51,58685,515,0
2024-04-09,18127.6,18231.87,17988.52,18197.93,58563,515,0
2024-04-10,18197.3,18292.98,17887.74,17988.26,65581,513,0
2024-04-11,17990.66,18346.88,17920.53,18322.27,62189,517,0
2024-04-12,18323.74,18340.6,17957.22,18007.68,57275,511,0
2024-04-14,18006.62,18096.26,18006.62,18080.13,4776,538,0
2024-04-15,18079.63,18190.74,17685.05,17715.69,71109,507,0
2024-04-16,17717.75,17832.03,17639.56,17785.12,75935,511,0
2024-04-17,17783.48,17815.92,17466.72,17537.55,74676,501,0
2024-04-18,17537.44,17621.51,17332.2,17353.29,72202,493,0
2024-04-19,17346.91,17407.77,16971.47,17047.47,89438,493,0
2024-04-21,17101.96,17137.4,17059.08,17134.95,4301,515,0
2024-04-22,17133.98,17311.59,17017.09,17189.52,68224,485,0
2024-04-23,17190.5,17586.79,17159.3,17569.23,64161,492,0
2024-04-24,17569.42,17662.7,17312.42,17335.63,67614,500,0
2024-04-25,17335.55,17699.42,17182.28,17633.71,76707,496,0
2024-04-26,17633.81,17775.93,17543.37,17712.9,57980,501,0
2024-04-28,17747.4,17774.87,17738.83,17772.04,2942,524,0
2024-04-29,17772.07,17834.08,17677.84,17797.15,57346,498,0
2024-04-30,17797.15,17807.92,17358.14,17399.77,60633,505,0
2024-05-01,17399.95,17682.36,17291.26,17423.02,72618,501,0
2024-05-02,17423.97,17701.37,17280.7,17650.31,68612,502,0
2024-05-03,17649.91,17938.51,17614.1,17894.97,52525,507,0
2024-05-05,17960.5,17962.38,17904.77,17908.97,2683,535,0
2024-05-06,17908.51,18102.58,17887.72,18087.0,46521,508,0
2024-05-07,18086.89,18166.52,18054.3,18108.99,48273,509,0
2024-05-08,18109.29,18146.68,17979.1,18067.74,47780,511,0
2024-05-09,18067.84,18149.76,18011.04,18137.85,48205,504,0
2024-05-10,18138.44,18253.51,18094.49,18159.07,44761,505,0
2024-05-12,18155.74,18169.23,18143.94,18160.3,2046,512,0
2024-05-13,18160.54,18249.35,18149.49,18200.61,44726,507,0
2024-05-14,18200.32,18346.74,18084.92,18333.74,50202,503,0
2024-05-15,18333.77,18642.34,18310.03,18636.91,50683,505,0
2024-05-16,18636.9,18675.11,18548.43,18569.17,51546,513,0
2024-05-17,18569.38,18604.23,18465.08,18557.82,44596,511,0
2024-05-19,18564.11,18597.76,18563.2,18593.92,2337,536,0
2024-05-20,18594.18,18721.58,18563.99,18682.14,44211,521,0
2024-05-21,18682.02,18748.0,18609.7,18746.32,43351,518,0
2024-05-22,18746.53,18818.88,18618.56,18813.13,51864,521,0
2024-05-23,18813.63,18960.55,18562.91,18642.55,60436,534,0
2024-05-24,18641.67,18865.43,18624.66,18815.12,48423,524,0
2024-05-26,18824.38,18837.72,18787.71,18787.91,2383,562,0
2024-05-27,18788.16,18907.79,18785.54,18862.04,25631,525,0
2024-05-28,18861.67,18934.16,18775.53,18888.12,52825,529,0
2024-05-29,18888.08,18892.56,18668.83,18688.09,58548,528,0
2024-05-30,18688.11,18750.57,18512.97,18527.32,58421,514,0
2024-05-31,18527.01,18633.79,18209.69,18554.81,60428,520,0
2024-06-02,18562.48,18573.59,18514.0,18566.8,3656,549,0
2024-06-03,18566.58,18729.68,18412.22,18627.94,62603,530,0
2024-06-04,18628.18,18730.3,18489.73,18718.06,62735,528,0
2024-06-05,18717.96,19089.15,18683.28,19072.48,52822,525,0
2024-06-06,19072.7,19102.8,18999.57,19057.07,53164,533,0
2024-06-07,19057.4,19137.14,18924.03,19022.98,53712,528,0
2024-06-09,19015.23,19050.34,19000.86,19018.24,3018,562,0
2024-06-10,19018.68,19120.57,18965.74,19078.61,53018,535,0
2024-06-11,19078.6,19266.7,18990.52,19253.83,53514,528,0
2024-06-12,19253.81,19608.71,19235.66,19599.85,58283,533,0
2024-06-13,19599.77,19683.98,19500.73,19618.83,54922,550,0
2024-06-14,19617.85,19690.39,19502.41,19687.56,52244,547,0
2024-06-16,19702.67,19733.69,19678.54,19720.3,2754,570,0
