time,open,high,low,close,tick_volume,spread,real_volume
2024-01-14,2048.13,2048.705,2046.294,2047.586,2672,199,0
2024-01-15,2047.652,2058.626,2045.752,2053.841,73467,199,0
2024-01-16,2053.867,2054.507,2024.185,2027.824,127503,199,0
2024-01-17,2028.1,2032.935,2001.761,2009.243,121655,199,0
2024-01-18,2009.261,2024.233,2005.717,2023.423,100589,199,0
2024-01-19,2023.523,2039.258,2020.31,2029.452,91606,199,0
2024-01-21,2028.529,2028.562,2026.847,2027.505,2803,199,0
2024-01-22,2027.49,2032.074,2016.399,2020.552,95505,199,0
2024-01-23,2020.554,2037.899,2019.559,2029.137,96169,199,0
2024-01-24,2029.002,2036.593,2011.138,2016.101,105313,199,0
2024-01-25,2015.977,2025.271,2009.361,2020.248,98936,199,0
2024-01-26,2020.356,2026.819,2015.868,2018.469,84374,199,0
2024-01-28,2023.424,2028.612,2021.186,2021.831,5032,199,0
2024-01-29,2021.832,2037.561,2019.282,2030.73,90104,199,0
2024-01-30,2030.962,2048.557,2029.029,2036.234,98661,199,0
2024-01-31,2036.4,2055.98,2030.818,2039.786,126370,199,0
2024-02-01,2039.734,2065.458,2029.913,2054.624,120510,199,0
2024-02-02,2054.631,2057.623,2027.741,2039.609,109124,199,0
2024-02-04,2041.781,2042.213,2039.056,2039.715,3238,199,0
2024-02-05,2039.299,2039.818,2014.817,2024.86,98450,199,0
2024-02-06,2024.809,2038.88,2022.802,2035.069,90028,199,0
2024-02-07,2035.115,2044.519,2030.519,2036.228,83931,199,0
2024-02-08,2036.224,2038.688,2020.125,2034.124,89729,199,0
2024-02-09,2033.939,2037.184,2020.237,2024.192,82411,199,0
2024-02-11,2026.346,2026.706,2024.402,2025.266,2166,199,0
2024-02-12,2025.416,2027.539,2011.843,2018.65,77634,199,0
2024-02-13,2018.601,2032.306,1989.965,1991.193,99155,199,0
2024-02-14,1991.332,1996.04,1984.121,1993.452,91599,199,0
2024-02-15,1993.441,2008.228,1990.17,2003.155,87929,199,0
2024-02-16,2003.095,2015.123,1995.07,2013.269,89625,199,0
2024-02-18,2012.706,2019.066,1997.784,2010.604,4241,199,0
2024-02-19,2012.793,2022.957,2009.184,2016.206,63396,199,0
2024-02-20,2015.981,2030.814,2014.956,2024.128,80366,199,0
2024-02-21,2024.048,2032.234,2020.006,2025.566,82571,199,0
2024-02-22,2025.483,2034.833,2019.547,2024.681,88982,199,0
2024-02-23,2024.524,2041.349,2016.002,2035.524,84933,199,0
2024-02-25,2033.24,2034.939,2033.178,2034.224,2097,200,0
2024-02-26,2033.996,2037.019,2024.999,2031.073,80063,199,0
2024-02-27,2030.986,2039.471,2028.69,2030.09,76603,199,0
2024-02-28,2029.968,2037.897,2024.468,2034.303,77513,199,0
2024-02-29,2034.378,2050.662,2028.063,2043.98,88805,199,0
2024-03-01,2044.067,2088.312,2039.039,2083.315,98822,199,0
2024-03-03,2082.522,2086.16,2082.522,2083.44,2898,199,0
2024-03-04,2083.593,2119.887,2079.418,2114.48,99779,199,0
2024-03-05,2114.34,2141.881,2110.404,2128.16,124643,199,0
2024-03-06,2127.777,2152.234,2123.607,2147.192,119493,199,0
2024-03-07,2146.851,2164.753,2144.185,2161.478,123608,199,0
2024-03-08,2161.641,2195.115,2153.945,2178.501,136844,199,0
2024-03-10,2179.559,2183.827,2177.113,2181.57,5744,199,0
2024-03-11,2181.59,2189.011,2174.694,2183.552,102883,199,0
2024-03-12,2183.551,2184.481,2150.468,2156.912,130792,199,0
2024-03-13,2156.907,2179.803,2156.534,2175.362,102051,199,0
2024-03-14,2175.448,2176.968,2152.696,2161.62,105768,199,0
2024-03-15,2161.697,2172.743,2155.095,2155.698,95343,199,0
2024-03-17,2153.279,2156.535,2153.079,2156.514,5005,199,0
2024-03-18,2156.472,2163.613,2146.067,2161.65,93283,199,0
2024-03-19,2162.053,2162.839,2147.15,2157.009,97013,199,0
2024-03-20,2157.052,2211.005,2149.566,2203.501,130267,199,0
2024-03-21,2203.97,2212.563,2166.28,2181.491,142117,199,0
2024-03-22,2181.676,2186.043,2157.007,2165.338,111973,199,0
2024-03-24,2166.313,2168.893,2165.07,2168.337,5641,199,0
2024-03-25,2168.315,2181.257,2163.42,2172.876,103036,199,0
2024-03-26,2172.885,2200.057,2167.543,2179.467,109410,199,0
2024-03-27,2179.462,2197.586,2173.124,2190.969,107792,199,0
2024-03-28,2190.723,2236.293,2187.318,2232.586,123095,199,0
2024-03-31,2239.644,2247.302,2235.568,2244.927,10532,299,0
2024-04-01,2245.957,2265.623,2228.459,2248.942,129125,199,0
2024-04-02,2248.968,2288.238,2246.627,2280.205,151424,199,0
2024-04-03,2279.886,2302.42,2265.364,2297.446,153683,199,0
2024-04-04,2297.497,2305.537,2279.817,2288.89,143578,199,0
2024-04-05,2288.702,2330.507,2267.755,2329.355,173512,199,0
2024-04-07,2327.315,2328.568,2304.018,2311.647,19552,199,0
2024-04-08,2311.297,2354.159,2302.862,2338.79,231605,199,0
2024-04-09,2338.782,2365.338,2337.777,2354.778,184515,199,0
2024-04-10,2354.908,2360.086,2319.237,2335.429,228532,199,0
2024-04-11,2335.489,2379.373,2325.595,2377.001,178978,199,0
2024-04-12,2376.787,2431.528,2333.784,2344.382,305714,199,0
2024-04-14,2369.105,2371.92,2346.784,2364.486,11661,199,0
2024-04-15,2364.446,2392.013,2324.114,2381.833,250820,199,0
2024-04-16,2381.896,2398.253,2362.964,2382.843,237644,199,0
2024-04-17,2382.703,2395.586,2354.553,2367.84,195282,199,0
2024-04-18,2367.837,2392.8,2364.047,2380.003,168238,199,0
2024-04-19,2379.867,2417.905,2372.761,2390.677,255793,199,0
2024-04-21,2384.011,2388.597,2381.878,2386.483,9790,199,0
2024-04-22,2386.506,2386.506,2324.51,2333.737,189242,199,0
2024-04-23,2333.712,2334.378,2291.323,2323.21,218520,199,0
2024-04-24,2323.225,2337.291,2311.698,2316.219,155265,199,0
2024-04-25,2316.223,2344.872,2304.865,2330.62,174306,199,0
2024-04-26,2330.617,2352.555,2326.212,2337.792,141880,199,0
2024-04-28,2333.884,2336.825,2332.476,2335.986,6409,199,0
2024-04-29,2335.937,2346.72,2319.733,2333.173,153543,199,0
2024-04-30,2333.178,2336.113,2284.967,2291.244,156588,199,0
2024-05-01,2291.256,2328.289,2281.553,2323.809,178335,199,0
2024-05-02,2323.848,2326.492,2285.423,2304.247,147900,199,0
2024-05-03,2304.243,2320.712,2277.09,2301.626,171510,199,0
2024-05-05,2302.321,2303.289,2293.26,2293.968,7225,199,0
2024-05-06,2293.929,2332.095,2291.769,2325.943,148881,199,0
2024-05-07,2325.95,2329.926,2309.895,2315.118,117180,199,0
2024-05-08,2315.167,2321.336,2303.584,2308.74,124601,199,0
2024-05-09,2308.733,2348.325,2306.477,2346.524,132421,199,0
2024-05-10,2346.557,2378.476,2345.924,2360.449,146739,199,0
2024-05-12,2361.401,2363.088,2359.73,2360.407,5298,199,0
2024-05-13,2360.447,2364.49,2332.06,2338.408,129113,199,0
2024-05-14,2338.39,2359.593,2334.734,2355.774,131767,199,0
2024-05-15,2355.77,2391.91,2351.746,2391.769,159110,199,0
2024-05-16,2391.764,2397.342,2370.885,2377.726,139693,199,0
2024-05-17,2377.722,2422.737,2373.935,2413.933,137812,199,0
